Klinik name,klinik website,Stellenlink,Kontak,,,
Ökumenisches Tagesklinik Bad Langensalza,https://www.oehk.de/karriere/aerztlicher-dienst,https://www.oehk.de/karriere/aktuelle-stellenausschreibungen,      ,,,
Evanglisches Fachkrankenhaus für Atemwegserkrankungen Neustadt,https://doceins.de/neustadt/,https://doceins.de/neustadt/karriereportal/#stellenangebote-aerztlicher-dienst,"Mit Kennziffer schicken
Frau Dr. med. Kathrin Conrad Chefärztin Innere Med./Pneumologie
kathrin.conrad@doceins.de
geschaeftsfuehrung.lkn@doceins.de       ",,,
Südharz- Klinikum in Nordhausen,https://www.shk-ndh.de/index.php,https://www.shk-ndh.de/jobs/jobs_kurz.php,"Personalleiterin Anne Funk
anne.funk@shk-ndh.de
personal@shk-ndh.de  Oberarzt Dr. Sören Linsel
personal@shk-ndh.de Dr. med. Markus Köhler
FA für Allgemeinmedizin
markus.koehler@mvz-ndh.de    ",,,
Kreiskrankenhaus Ronneburg,https://www.krankenhaus-ronneburg.de/,https://www.krankenhaus-ronneburg.de/stellenangebote,"s.kairies@hospital-greiz.de Frau Kairies Personal Chefarzt Dipl. med. A. Brühl
bruehl@krankenhaus-ronneburg.de
Chefarzt Dr. med. Peter Gottschalk
p.gottschalk@hospital-greiz.de
Frau Kairies
s.kairies@hospital-greiz.de     ",,,
Kreiskrankenhaus Greiz,https://www.kreiskrankenhaus-greiz.de/,https://www.kreiskrankenhaus-greiz.de/beruf-und-karriere/stellenangebote,"Chefarzt Dr. med. Peter Gottschalk
p.gottschalk@hospital-greiz.de
Frau Silke Kairies
s.kairies@hospital-greiz.de Chefarzt Anästhesie Dr. med. S. Volkert
s.volkert@hospital-greiz.de
Chefarzt Mike Philipp 
m.philipp@hospital-greiz.de
Frau Silke Kairies
s.kairies@hospital-greiz.de Chefarzt Unfallchirurgie, Orthopädie und Wirbelsäulentherapie
Dr. med. Ivan Marintschev
ivan.marintschev@kkh-erfurt.de
unfallchirurgie@kkh-erfurt.de
bewerbungen@kkh-erfurt.de Chefarzt Dr. med. Mario Dietzel
Klinik für Orthopädie und Unfallchirurgie
m.dietzel@hospital-greiz.de
Frau Silke Kairies
s.kairies@hospital-greiz.de Chefarzt Dr. med. Saeid Panahi Khezri
Radiologie und Neuroradiologie
s.panahi-khezri@hospital-greiz.de
Frau Silke Kairies
s.kairies@hospital-greiz.de Chefarzt Dr. med. Jürgen Heyne
Klinik für Allgemeine, Gefäß- und Viszeralchirurgie
j.heyne@hospital-greiz.de
Frau Silke Kairies
s.kairies@hospital-greiz.de ",,,
MVZ Poliklinik Greiz GmbH Standort Weida,https://www.gesundheitszentrum-greiz.de/,https://www.gesundheitszentrum-greiz.de/karriere/stellenangebote-mvz,      ,,,
"Thüringen- Kliniken ""Georgius Agricola"" Saalfeld, Rudolstadt,
Pößneck, Bad Lobenstein",https://www.thueringen-kliniken.de/start,https://thueringen-kliniken.career.softgarden.de/#jobs%3Acategory%253D%255B%2522%25C3%2584rzte%2522%255D,"Herr Chefarzt Dr. med. Thomas Sobanski
psychiatrie@thueringen-kliniken.de Chefarzt Herr Dr. Ruzicka
innere_ru@thueringen-kliniken.de
Herr Chefarzt Jens Nowatschin
Annett Unger
aunger@thueringen-kliniken.de
bewerbungen@thueringen-kliniken.de Herr Chefarzt Prof. Dr. med. habil. Peter C. Konturek
Annett Unger
aunger@thueringen-kliniken.de
bewerbungen@thueringen-kliniken.de  innere_RU@thueringen-kliniken.de Dr. Huck CA Innere Herr Chefarzt Dr. med. Ralph Giese Dr. med. Robert Kästner
Chefarzt
Grit Pyschik
Chefarztsekretärin
gpyschik@thueringen-kliniken.de
Personalrecruiting Hess, Sarah
sarhess@thueringen-kliniken.de Herr Chefarzt Dr. med. Thomas Sobanski
psychiatrie@thueringen-kliniken.de",,,
Elisabeth- Krankenhaus Schmalkalden,https://www.elisabeth-klinikum.de/#,https://kwschmal.pi-asp.de/bewerber-web/?companyEid=009&tenant=&lang=D&position_cats=397e4d52-d70f-4764-a1c2-45add480690d#positions,"
personalabteilung@elisabeth-klinikum.de Facharzt für Innere Medizin und Kardiologie
Chefarzt Alaeldin Addas
Alaeldin.Addas@elisabeth-klinikum.de
kardiologie@elisabeth-klinikum.de
personalabteilung@elisabeth-klinikum.de Chefarzt Facharzt für Innere Medizin und Gastroenterologie
Dr. med. Ronni Veitt
ronni.veitt@elisabeth-klinikum.de
personalabteilung@elisabeth-klinikum.de Chefarzt Dr. med. Colin Uhle
Sekretariat Brigitte Schleicher
chirurgie@elisabeth-klinikum.de
personalabteilung@elisabeth-klinikum.de   ",,,
MEDINOS Kliniken des Landkreises Sonneberg,https://www.medinos-kliniken.de/klinikum-sonneberg/,https://www.medinos-kliniken.de/karriere/,"karriere@medinos-kliniken.de Frau Stefanie Edelmann
CA Innere Medizin Angiologie/Kardiologie/Diabetolo
stefanie.edelmann@regiomed-kliniken.de
karriere@medinos-kliniken.de     ",,,
ASKLEPIOS Fachklinikum Stadtroda,https://www.medinos-kliniken.de/,https://www.asklepios.com/stadtroda/unternehmen/bewerber/stellenangebote/,"nur an Diana Müller schicken HR Managerin mailto:d.mueller@asklepios.com
nur mit Approbation
Herr Dr. med. Martin Schumm
m.schumm@asklepios.com
personal.stadtroda@asklepios.com Herr Dr. med. Uwe Wutzler
Chefarzt Psychosomatische Medizin und Psychotherapie
 u.wutzler@asklepios.com
personal.stadtroda@asklepios.com     ",,,
"Klinik an der Weißenburg, Uhlstädt- Kirchhasel",https://www.klinik-weissenburg.de/,https://www.klinik-weissenburg.de/karriere,"Dr. med. Sylke Schneider
Chefärztin Rheumazentrum
sylke.schneider@klinik-weissenburg.de
personal@klinik-weissenburg.de       ",,,
KMG Klinikum Sömmerda,https://kmg-kliniken.de/kmg-klinikum-soemmerda,https://kmg-kliniken.de/karriere/stellenangebote?searchField=arzt,"Chefärztin Geriatrie
Dr. med. Ina Sillenberg
i.sillenberg@kmg-kliniken.de
Sekreteriat
e.mueller@kmg-kliniken.de
Personalreferentin
Frau  Daniela Hempel
d.hempel@kmg-kliniken.de       ",,,
Mediclin Klinik am Rennsteig,https://www.klinik-am-rennsteig.de/,https://www.mediclin-karriere.de/klinik-am-rennsteig/?cat=aerztlicher-dienst&clinic=mediclin-klinik-am-rennsteig&radius=200&cHash=8c8c13c680ffdceca09392f262ed55a7,"Chefärztin der Klinik für Orthopädie, Frau K. Arndt 
Andrea Schleicher Personalwesen/Recruiting
Bewerbung.BadTabarz@mediclin.de       ",,,
Inselbergklinik Bad Tabarz,https://www.inselsberg-klinik.de/,https://karriere.wicker-gup.de/stellenangebote/alle-stellen-des-verbundes/,       ,,,
"DRK Krankenhäuser Bad Frankenhausen
(Sondershausen und Sommerda)",geschlossen, ,        ,,,
Kreiskrankenhaus Schleiz geschlossen,geschlossen,,       ,,,
,, ,       ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,, ,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
,,,      ,,,
